周卡信息：playerId	物品id	购买时间	玩家姓名	玩家等级	玩家账号
332	55	2019-10-14 17:55:23	wesdxcvfgh	50	asdfg1
331	55	2019-10-16 10:48:48	ConGaCon	50	soha-847303324
331	55	2019-10-16 10:52:12	ConGaCon	50	soha-847303324
331	55	2019-10-21 17:26:37	ConGaCon	50	soha-847303324
337	55	2019-10-24 9:46:02	ZELL88	30	soha-847303306
337	55	2019-10-24 9:46:20	ZELL88	30	soha-847303306
318	55	2019-10-31 17:16:34	rinnnnn	10	soha-829621853
317	55	2019-11-21 15:41:16	Hohohi	21	soha-829621786
327	55	2019-11-28 17:01:52	koikoi	10	soha-829678258

月卡信息：playerId	物品id	购买时间	玩家姓名	玩家等级	玩家账号
331	50	2019-10-16 10:50:54	ConGaCon	50	soha-847303324
337	50	2019-10-24 9:46:36	ZELL88	30	soha-847303306
327	50	2019-10-30 16:29:47	koikoi	10	soha-829678258
318	50	2019-10-31 17:16:45	rinnnnn	10	soha-829621853

季卡信息：playerId	物品id	购买时间	玩家姓名	玩家等级	玩家账号
331	52	2019-10-16 10:51:12	ConGaCon	50	soha-847303324
318	52	2019-10-31 17:17:14	rinnnnn	10	soha-829621853

年卡信息：playerId	物品id	购买时间	玩家姓名	玩家等级	玩家账号
331	56	2019-10-16 10:51:15	ConGaCon	50	soha-847303324
318	56	2019-10-31 17:17:30	rinnnnn	10	soha-829621853
